season,round,race_name,date,driver_id,driver_code,driver_name,constructor_id,constructor,number,grid,position,points,laps,status,fastest_lap_rank,fastest_lap_speed
2012,1,Australian Grand Prix,2012-03-18,button,BUT,Jenson Button,mclaren,McLaren,3,2,1,25,58,Finished,1,214.053
2012,1,Australian Grand Prix,2012-03-18,vettel,VET,Sebastian Vettel,red_bull,Red Bull,1,6,2,18,58,Finished,2,213.503
2012,1,Australian Grand Prix,2012-03-18,hamilton,HAM,Lewis Hamilton,mclaren,McLaren,4,1,3,15,58,Finished,4,213.214
2012,1,Australian Grand Prix,2012-03-18,webber,WEB,Mark Webber,red_bull,Red Bull,2,5,4,12,58,Finished,3,213.452
2012,1,Australian Grand Prix,2012-03-18,alonso,ALO,Fernando Alonso,ferrari,Ferrari,5,12,5,10,58,Finished,7,211.469
2012,1,Australian Grand Prix,2012-03-18,kobayashi,KOB,Kamui Kobayashi,sauber,Sauber,14,13,6,8,58,Finished,10,210.668
2012,1,Australian Grand Prix,2012-03-18,raikkonen,RAI,Kimi Räikkönen,lotus_f1,Lotus F1,9,17,7,6,58,Finished,11,210.346
2012,1,Australian Grand Prix,2012-03-18,perez,PER,Sergio Pérez,sauber,Sauber,15,22,8,4,58,Finished,12,210.151
2012,1,Australian Grand Prix,2012-03-18,ricciardo,RIC,Daniel Ricciardo,toro_rosso,Toro Rosso,16,10,9,2,58,Finished,8,210.733
2012,1,Australian Grand Prix,2012-03-18,resta,DIR,Paul di Resta,force_india,Force India,11,15,10,1,58,Finished,9,210.703
2012,1,Australian Grand Prix,2012-03-18,vergne,VER,Jean-Éric Vergne,toro_rosso,Toro Rosso,17,11,11,0,58,Finished,6,211.476
2012,1,Australian Grand Prix,2012-03-18,rosberg,ROS,Nico Rosberg,mercedes,Mercedes,8,7,12,0,58,Finished,14,209.948
2012,1,Australian Grand Prix,2012-03-18,maldonado,MAL,Pastor Maldonado,williams,Williams,18,8,13,0,57,Accident,5,211.523
2012,1,Australian Grand Prix,2012-03-18,glock,GLO,Timo Glock,marussia,Marussia,24,20,14,0,57,+1 Lap,19,202.548
2012,1,Australian Grand Prix,2012-03-18,pic,PIC,Charles Pic,marussia,Marussia,25,21,15,0,53,+5 Laps,20,200.932
2012,1,Australian Grand Prix,2012-03-18,bruno_senna,SEN,Bruno Senna,williams,Williams,19,14,16,0,52,Collision,13,210.123
2012,1,Australian Grand Prix,2012-03-18,massa,MAS,Felipe Massa,ferrari,Ferrari,6,16,17,0,46,Collision,15,207.644
2012,1,Australian Grand Prix,2012-03-18,kovalainen,KOV,Heikki Kovalainen,caterham,Caterham,20,18,18,0,38,Suspension,17,203.759
2012,1,Australian Grand Prix,2012-03-18,petrov,PET,Vitaly Petrov,caterham,Caterham,21,19,19,0,34,Steering,16,204.806
2012,1,Australian Grand Prix,2012-03-18,michael_schumacher,MSC,Michael Schumacher,mercedes,Mercedes,7,4,20,0,10,Gearbox,18,203.048
2012,1,Australian Grand Prix,2012-03-18,grosjean,GRO,Romain Grosjean,lotus_f1,Lotus F1,10,3,21,0,1,Collision,,
2012,1,Australian Grand Prix,2012-03-18,hulkenberg,HUL,Nico Hülkenberg,force_india,Force India,12,9,22,0,0,Collision,,
2012,2,Malaysian Grand Prix,2012-03-25,alonso,ALO,Fernando Alonso,ferrari,Ferrari,5,8,1,25,56,Finished,7,196.250
2012,2,Malaysian Grand Prix,2012-03-25,perez,PER,Sergio Pérez,sauber,Sauber,15,9,2,18,56,Finished,3,197.531
2012,2,Malaysian Grand Prix,2012-03-25,hamilton,HAM,Lewis Hamilton,mclaren,McLaren,4,1,3,15,56,Finished,6,196.523
2012,2,Malaysian Grand Prix,2012-03-25,webber,WEB,Mark Webber,red_bull,Red Bull,2,4,4,12,56,Finished,2,197.539
2012,2,Malaysian Grand Prix,2012-03-25,raikkonen,RAI,Kimi Räikkönen,lotus_f1,Lotus F1,9,10,5,10,56,Finished,1,198.117
2012,2,Malaysian Grand Prix,2012-03-25,bruno_senna,SEN,Bruno Senna,williams,Williams,19,13,6,8,56,Finished,5,196.785
2012,2,Malaysian Grand Prix,2012-03-25,resta,DIR,Paul di Resta,force_india,Force India,11,14,7,6,56,Finished,10,195.983
2012,2,Malaysian Grand Prix,2012-03-25,vergne,VER,Jean-Éric Vergne,toro_rosso,Toro Rosso,17,18,8,4,56,Finished,12,195.785
2012,2,Malaysian Grand Prix,2012-03-25,hulkenberg,HUL,Nico Hülkenberg,force_india,Force India,12,16,9,2,56,Finished,15,195.304
2012,2,Malaysian Grand Prix,2012-03-25,michael_schumacher,MSC,Michael Schumacher,mercedes,Mercedes,7,3,10,1,56,Finished,9,196.096
2012,2,Malaysian Grand Prix,2012-03-25,vettel,VET,Sebastian Vettel,red_bull,Red Bull,1,5,11,0,56,Finished,4,196.905
2012,2,Malaysian Grand Prix,2012-03-25,ricciardo,RIC,Daniel Ricciardo,toro_rosso,Toro Rosso,16,15,12,0,56,Finished,8,196.104
2012,2,Malaysian Grand Prix,2012-03-25,rosberg,ROS,Nico Rosberg,mercedes,Mercedes,8,7,13,0,56,Finished,11,195.898
