season,round,race_name,date,driver_id,driver_code,driver_name,constructor_id,constructor,number,grid,position,points,laps,status,fastest_lap_rank,fastest_lap_speed
2013,1,Australian Grand Prix,2013-03-17,raikkonen,RAI,Kimi Räikkönen,lotus_f1,Lotus F1,7,7,1,25,58,Finished,1,213.845
2013,1,Australian Grand Prix,2013-03-17,alonso,ALO,Fernando Alonso,ferrari,Ferrari,3,5,2,18,58,Finished,3,213.162
2013,1,Australian Grand Prix,2013-03-17,vettel,VET,Sebastian Vettel,red_bull,Red Bull,1,1,3,15,58,Finished,10,211.160
2013,1,Australian Grand Prix,2013-03-17,massa,MAS,Felipe Massa,ferrari,Ferrari,4,4,4,12,58,Finished,8,211.558
2013,1,Australian Grand Prix,2013-03-17,hamilton,HAM,Lewis Hamilton,mercedes,Mercedes,10,3,5,10,58,Finished,5,212.689
2013,1,Australian Grand Prix,2013-03-17,webber,WEB,Mark Webber,red_bull,Red Bull,2,2,6,8,58,Finished,4,212.753
2013,1,Australian Grand Prix,2013-03-17,sutil,SUT,Adrian Sutil,force_india,Force India,15,12,7,6,58,Finished,13,210.459
2013,1,Australian Grand Prix,2013-03-17,resta,DIR,Paul di Resta,force_india,Force India,14,9,8,4,58,Finished,15,210.033
2013,1,Australian Grand Prix,2013-03-17,button,BUT,Jenson Button,mclaren,McLaren,5,10,9,2,58,Finished,7,211.654
2013,1,Australian Grand Prix,2013-03-17,grosjean,GRO,Romain Grosjean,lotus_f1,Lotus F1,8,8,10,1,58,Finished,9,211.193
2013,1,Australian Grand Prix,2013-03-17,perez,PER,Sergio Pérez,mclaren,McLaren,6,15,11,0,58,Finished,6,212.294
2013,1,Australian Grand Prix,2013-03-17,vergne,VER,Jean-Éric Vergne,toro_rosso,Toro Rosso,18,13,12,0,58,Finished,2,213.309
2013,1,Australian Grand Prix,2013-03-17,gutierrez,GUT,Esteban Gutiérrez,sauber,Sauber,12,18,13,0,57,+1 Lap,16,208.836
2013,1,Australian Grand Prix,2013-03-17,bottas,BOT,Valtteri Bottas,williams,Williams,17,16,14,0,57,+1 Lap,12,210.594
2013,1,Australian Grand Prix,2013-03-17,jules_bianchi,BIA,Jules Bianchi,marussia,Marussia,22,19,15,0,57,+1 Lap,11,211.055
2013,1,Australian Grand Prix,2013-03-17,pic,PIC,Charles Pic,caterham,Caterham,20,22,16,0,56,+2 Laps,19,206.921
2013,1,Australian Grand Prix,2013-03-17,chilton,CHI,Max Chilton,marussia,Marussia,23,20,17,0,56,+2 Laps,17,207.036
2013,1,Australian Grand Prix,2013-03-17,garde,VDG,Giedo van der Garde,caterham,Caterham,21,21,18,0,56,+2 Laps,20,206.084
